Bundesland,Fläche km²,insgesamt,männlich,weiblich,jeKM2
Baden-Württemberg,35 748.22,11 069 533,5 501 693,5 567 840,310
Bayern,70 541.57,13 076 721,6 483 793,6 592 928,185
Berlin, 891.12,3 644 826,1 792 801,1 852 025, 4 090
Brandenburg,29 654.48,2 511 917,1 239 460,1 272 457,85
Bremen, 419.36, 682 986, 338 035, 344 951,1 629
Hamburg, 755.09,1 841 179, 902 048, 939 131,2 438
Hessen,21 115.68,6 265 809,3 093 044,3 172 765,297
Mecklenburg-Vorpommern,23 294.62,1 609 675, 793 639, 816 036,69
Niedersachsen,47 709.50,7 982 448,3 943 243,4 039 205,167
Nordrhein-Westfalen,34 112.31,17 932 651,8 798 631,9 134 020,526
Rheinland-Pfalz,19 858.00,4 084 844,2 017 576,2 067 268,206
Saarland,2 571.11, 990 509, 486 159, 504 350,385
Sachsen,18 449.96,4 077 937,2 009 619,2 068 318,221
Sachsen-Anhalt, 20 454.31, 2 208 321,1 086 679, 1 121 642,108
Schleswig-Holstein, 15 804.30, 2 896 712, 1 419 457, 1 477 255,183
Thüringen, 16 202.37, 2 143 145, 1 060 814, 1 082 331,132
Deutschland, 357 582.00, 83 019 213, 40 966 691, 42 052 522,232
